Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Ghana,GHA,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,1720000000,1.75E+09,2.10E+09,2.07E+09
Ghana,GHA,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,20500000000,2.07E+10,2.06E+10,2.09E+10
Ghana,GHA,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,57400000000,6.00E+10,5.92E+10,5.54E+10
Ghana,GHA,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,24500000000,2.07E+10,1.42E+10,1.48E+10
Ghana,GHA,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,1960000000,2.02E+09,2.08E+09,2.15E+09
Ghana,GHA,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,37200000000,3.19E+10,3.02E+10,2.36E+10
Ghana,GHA,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,0,0,0,0
Ghana,GHA,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,224000000,3.35E+08,4.91E+08,7.51E+08
Ghana,GHA,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,12800000000,1.12E+10,1.60E+10,8.79E+09
Ghana,GHA,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,24300000000,2.04E+10,1.37E+10,1.41E+10
Ghana,GHA,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,2390000000,2.16E+09,1.89E+09,1.72E+09
Ghana,GHA,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,1.59E+11,1.59E+11,1.58E+11,1.56E+11
Ghana,GHA,Net foreign assets (constant 2018 US$),NW.NFA.TO,-24000000000,-2.70E+10,-2.80E+10,-2.70E+10
Ghana,GHA,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,-862.246,-940.84,-966.125,-909.57
Ghana,GHA,Produced capital (constant 2018 US$),NW.PCA.TO,2.42E+11,2.48E+11,2.53E+11,2.62E+11
Ghana,GHA,Produced capital per capita (constant 2018 US$),NW.PCA.PC,8695.665,8704.348,8693.358,8787.59
Ghana,GHA,Total wealth (constant 2018 US$),NW.TOW.TO,8.57E+11,8.74E+11,9.16E+11,9.48E+11
Ghana,GHA,Total wealth per capita (constant 2018 US$),NW.TOW.PC,30781.16,30700.31,31459.34,31860.59
Greece,GRC,Human capital (constant 2018 US$),NW.HCA.TO,9.03E+11,9.50E+11,9.58E+11,9.62E+11
Greece,GRC,Human capital per capita (constant 2018 US$),NW.HCA.PC,83406.51,88155.15,89111.08,89600.09
Greece,GRC,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,24437.88,26308.3,26399.09,26486.86
Greece,GRC,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,38642.15,40307.01,40598.84,40878.73
Greece,GRC,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,32312.57,34815,35112.29,35229.03
Greece,GRC,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,51093.93,53340.15,53998.78,54371.05
Greece,GRC,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,7874.692,8506.703,8713.208,8742.177
Greece,GRC,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,12451.78,13033.14,13399.94,13492.32
Greece,GRC,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,2.64E+11,2.83E+11,2.84E+11,2.84E+11
